date,weekday,daytime,season,weather_conditions,light_conditions,road_surface_conditions,road_type,speed_limit,number_of_vehicles,urban_or_rural_area,IMD_Decile,IncScore,EmpScore,HDDScore,EduScore,CriScore,EnvScore,severity_numeric,severity_binary
2017-06-23,Fri,evening (19-23),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,3,0.213,0.135,0.137,20.248,0.514,25.442,3,Not Severe
2017-07-04,Tue,office hours (10-16),Summer,Fine no high winds,Daylight,Dry,Dual carriageway,30,1,Urban,2,0.264,0.166,0.489,15.395,0.962,38.478,4,Not Severe
2017-04-20,Thu,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,2,0.264,0.166,0.489,15.395,0.962,38.478,5,Not Severe
2017-04-09,Sun,evening (19-23),Spring,Fine no high winds,Daylight,Dry,Roundabout,30,2,Urban,2,0.264,0.166,0.489,15.395,0.962,38.478,4,Not Severe
2017-03-06,Mon,evening (19-23),Spring,Fine no high winds,Darkness - lights lit,Wet or damp,Single carriageway,30,1,Urban,4,0.118,0.068,-0.236,6.463,0.477,80.723,5,Not Severe
2017-10-29,Sun,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,3,0.184,0.104,0.302,17.016,0.914,32.763,2,Not Severe
2017-01-24,Tue,evening (19-23),Winter,Fine no high winds,Darkness - lights lit,Wet or damp,Single carriageway,30,2,Urban,3,0.184,0.104,0.302,17.016,0.914,32.763,3,Not Severe
2017-11-17,Fri,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,7,0.043,0.028,-1.892,1.021,-0.374,61.821,5,Not Severe
2017-07-14,Fri,office hours (10-16),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,7,0.043,0.028,-1.892,1.021,-0.374,61.821,4,Not Severe
2017-05-10,Wed,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,7,0.043,0.028,-1.892,1.021,-0.374,61.821,4,Not Severe
2017-02-10,Fri,office hours (10-16),Winter,Raining no high winds,Daylight,Wet or damp,Single carriageway,30,2,Urban,9,0.034,0.025,-1.932,0.098,0.213,30.477,6,Severe
2017-07-05,Wed,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Roundabout,30,2,Urban,8,0.058,0.046,-1.123,1.038,0.059,37.905,5,Not Severe
2017-12-12,Tue,office hours (10-16),Winter,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,4,0.14,0.098,0.322,11.379,-0.326,48.818,4,Not Severe
2017-10-08,Sun,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,4,0.14,0.098,0.322,11.379,-0.326,48.818,5,Not Severe
2017-07-10,Mon,evening (19-23),Summer,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,4,0.14,0.098,0.322,11.379,-0.326,48.818,4,Not Severe
2017-10-20,Fri,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,2,0.264,0.136,0.159,13.022,0.867,34.102,3,Not Severe
2017-05-18,Thu,evening (19-23),Spring,Raining no high winds,Daylight,Wet or damp,Single carriageway,20,2,Urban,2,0.264,0.136,0.159,13.022,0.867,34.102,3,Not Severe
2017-02-03,Fri,office hours (10-16),Winter,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,2,0.264,0.136,0.159,13.022,0.867,34.102,3,Not Severe
2017-10-18,Wed,morning rush (7-10),Autumn,Raining no high winds,Daylight,Wet or damp,Roundabout,30,2,Urban,2,0.268,0.136,0.664,25.003,0.576,22.689,7,Severe
2017-08-20,Sun,office hours (10-16),Summer,Fine no high winds,Daylight,Dry,Roundabout,30,2,Urban,2,0.268,0.136,0.664,25.003,0.576,22.689,3,Not Severe
2017-04-28,Fri,evening (19-23),Spring,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,2,0.273,0.161,0.485,27.776,0.454,31.142,4,Not Severe
2017-02-21,Tue,afternoon rush (16-19),Winter,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,2,0.273,0.161,0.485,27.776,0.454,31.142,4,Not Severe
2017-06-03,Sat,evening (19-23),Summer,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,5,0.093,0.07,-1.172,4.48,0.968,42.643,4,Not Severe
2017-07-05,Wed,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,One way street,30,2,Urban,9,0.034,0.025,-1.932,0.098,0.213,30.477,4,Not Severe
2017-07-13,Thu,evening (19-23),Summer,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,9,0.034,0.025,-1.932,0.098,0.213,30.477,3,Not Severe
2017-09-12,Tue,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,One way street,30,2,Urban,9,0.034,0.025,-1.932,0.098,0.213,30.477,4,Not Severe
2017-10-17,Tue,afternoon rush (16-19),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,20,2,Urban,7,0.04,0.023,-0.576,3.284,-0.296,39.666,4,Not Severe
2017-09-21,Thu,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,1,Urban,7,0.04,0.023,-0.576,3.284,-0.296,39.666,4,Not Severe
2017-09-08,Fri,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,7,0.04,0.023,-0.576,3.284,-0.296,39.666,5,Not Severe
2017-07-19,Wed,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,1,Urban,7,0.04,0.023,-0.576,3.284,-0.296,39.666,6,Severe
2017-05-22,Mon,afternoon rush (16-19),Spring,Fine no high winds,Daylight,Dry,Dual carriageway,20,2,Urban,7,0.04,0.023,-0.576,3.284,-0.296,39.666,5,Not Severe
2017-04-13,Thu,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,7,0.04,0.023,-0.576,3.284,-0.296,39.666,2,Not Severe
2017-10-06,Fri,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Roundabout,30,2,Urban,4,0.168,0.104,0.183,14.793,0.62,23.832,3,Not Severe
2017-09-20,Wed,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,1,Urban,4,0.168,0.104,0.183,14.793,0.62,23.832,5,Not Severe
2017-06-13,Tue,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.168,0.104,0.183,14.793,0.62,23.832,5,Not Severe
2017-04-09,Sun,afternoon rush (16-19),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.215,0.116,-0.058,15.153,0.182,47.76,4,Not Severe
2017-10-21,Sat,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,9,0.052,0.063,-0.915,12.733,-0.507,14.394,4,Not Severe
2017-08-30,Wed,afternoon rush (16-19),Summer,Raining no high winds,Daylight,Wet or damp,Single carriageway,30,4,Urban,2,0.251,0.15,-0.443,32.421,0.586,27.992,6,Severe
2017-08-15,Tue,night (23-7),Summer,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,20,2,Urban,7,0.05,0.018,-0.335,7.964,-0.771,46.728,3,Not Severe
2017-07-05,Wed,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,7,0.05,0.018,-0.335,7.964,-0.771,46.728,4,Not Severe
2017-09-24,Sun,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Roundabout,30,2,Urban,9,0.052,0.026,-1.546,0.84,-0.486,26.646,4,Not Severe
2017-04-07,Fri,afternoon rush (16-19),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,4,0.155,0.096,-0.472,4.525,0.51,42.624,4,Not Severe
2017-11-01,Wed,afternoon rush (16-19),Autumn,Fine no high winds,Darkness - lights lit,Dry,Dual carriageway,30,1,Urban,7,0.025,0.015,-2.709,1.516,0.66,55.26,4,Not Severe
2017-09-04,Mon,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,7,0.025,0.015,-2.709,1.516,0.66,55.26,3,Not Severe
2017-07-19,Wed,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,7,0.025,0.015,-2.709,1.516,0.66,55.26,4,Not Severe
2017-06-14,Wed,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,7,0.025,0.015,-2.709,1.516,0.66,55.26,4,Not Severe
2017-10-15,Sun,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,One way street,20,1,Urban,9,0.034,0.025,-1.932,0.098,0.213,30.477,5,Not Severe
2017-09-04,Mon,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.173,0.103,0.15,10.744,0.258,27.199,4,Not Severe
2017-10-08,Sun,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,One way street,30,2,Urban,10,0.03,0.02,-1.785,0.258,-0.537,25.878,4,Not Severe
2017-03-15,Wed,morning rush (7-10),Spring,Fine no high winds,Darkness - lights lit,Dry,One way street,30,2,Urban,4,0.131,0.101,0.071,3.85,0.893,49.58,4,Not Severe
2017-01-21,Sat,night (23-7),Winter,Fine no high winds,Darkness - lights lit,Frost or ice,One way street,30,2,Urban,4,0.131,0.101,0.071,3.85,0.893,49.58,4,Not Severe
2017-01-11,Wed,afternoon rush (16-19),Winter,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,4,0.131,0.101,0.071,3.85,0.893,49.58,4,Not Severe
2017-09-21,Thu,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,3,0.168,0.094,0.528,9.46,1.557,39.097,4,Not Severe
2017-01-20,Fri,evening (19-23),Winter,Fine no high winds,Darkness - lights lit,Dry,One way street,20,2,Urban,3,0.168,0.094,0.528,9.46,1.557,39.097,5,Not Severe
2017-11-09,Thu,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,8,0.044,0.04,-1.44,0.956,-0.284,42.013,4,Not Severe
2017-10-22,Sun,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,1,Urban,4,0.179,0.108,0.166,12.947,0.109,35.617,3,Not Severe
2017-05-18,Thu,afternoon rush (16-19),Spring,Raining no high winds,Daylight,Wet or damp,Single carriageway,20,2,Urban,7,0.103,0.049,-0.206,3.319,-0.594,30.821,3,Not Severe
2017-05-23,Tue,afternoon rush (16-19),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,7,0.103,0.049,-0.206,3.319,-0.594,30.821,5,Not Severe
2017-01-07,Sat,afternoon rush (16-19),Winter,Raining no high winds,Darkness - lights lit,Wet or damp,Single carriageway,20,2,Urban,7,0.103,0.049,-0.206,3.319,-0.594,30.821,2,Not Severe
2017-11-22,Wed,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,1,0.295,0.198,1.057,29.017,1.024,27.508,4,Not Severe
2017-10-13,Fri,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,1,0.295,0.198,1.057,29.017,1.024,27.508,3,Not Severe
2017-09-01,Fri,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,1,0.295,0.198,1.057,29.017,1.024,27.508,3,Not Severe
2017-07-14,Fri,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,1,0.295,0.198,1.057,29.017,1.024,27.508,5,Not Severe
2017-06-30,Fri,night (23-7),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,1,Urban,1,0.295,0.198,1.057,29.017,1.024,27.508,5,Not Severe
2017-07-18,Tue,evening (19-23),Summer,Fine no high winds,Daylight,Dry,Roundabout,20,2,Urban,2,0.205,0.138,0.225,14.531,1.688,31.716,4,Not Severe
2017-07-18,Tue,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,3,0.153,0.116,-0.202,8.217,1.814,40.649,4,Not Severe
2017-05-04,Thu,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,3,0.153,0.116,-0.202,8.217,1.814,40.649,2,Not Severe
2017-04-09,Sun,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,One way street,20,2,Urban,3,0.153,0.116,-0.202,8.217,1.814,40.649,3,Not Severe
2017-01-19,Thu,afternoon rush (16-19),Winter,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,20,2,Urban,3,0.153,0.116,-0.202,8.217,1.814,40.649,4,Not Severe
2017-01-04,Wed,office hours (10-16),Winter,Fine no high winds,Daylight,Dry,One way street,30,2,Urban,3,0.153,0.116,-0.202,8.217,1.814,40.649,4,Not Severe
2017-09-10,Sun,afternoon rush (16-19),Autumn,Fine + high winds,Daylight,Wet or damp,Single carriageway,30,2,Urban,9,0.033,0.026,-1.759,1.594,0.156,39.593,8,Severe
2017-06-27,Tue,morning rush (7-10),Summer,Fine no high winds,Darkness - lights unlit,Wet or damp,Single carriageway,30,2,Urban,9,0.033,0.026,-1.759,1.594,0.156,39.593,4,Not Severe
2017-04-22,Sat,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,9,0.033,0.026,-1.759,1.594,0.156,39.593,4,Not Severe
2017-10-17,Tue,night (23-7),Autumn,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,4,0.131,0.101,0.071,3.85,0.893,49.58,3,Not Severe
2017-04-22,Sat,afternoon rush (16-19),Spring,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,3,0.179,0.099,0.592,17.385,0.46,54.839,3,Not Severe
2017-11-08,Wed,morning rush (7-10),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,4,0.131,0.101,0.071,3.85,0.893,49.58,5,Not Severe
2017-07-07,Fri,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,10,0.03,0.02,-1.785,0.258,-0.537,25.878,3,Not Severe
2017-03-13,Mon,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Roundabout,40,2,Urban,2,0.187,0.133,0.399,29.65,1.171,27.442,4,Not Severe
2017-11-30,Thu,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Dual carriageway,20,2,Urban,3,0.177,0.114,0.151,5.416,0.531,50.789,5,Not Severe
2017-11-09,Thu,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.177,0.114,0.151,5.416,0.531,50.789,4,Not Severe
2017-09-18,Mon,evening (19-23),Autumn,Fine no high winds,Darkness - lights lit,Dry,Single carriageway,30,2,Urban,3,0.177,0.114,0.151,5.416,0.531,50.789,3,Not Severe
2017-04-25,Tue,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,3,0.177,0.114,0.151,5.416,0.531,50.789,5,Not Severe
2017-01-01,Sun,night (23-7),Winter,Fine no high winds,Darkness - lights lit,Wet or damp,Single carriageway,30,1,Urban,3,0.177,0.114,0.151,5.416,0.531,50.789,5,Not Severe
2017-12-06,Wed,office hours (10-16),Winter,Fine no high winds,Daylight,Dry,Single carriageway,20,1,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,4,Not Severe
2017-11-13,Mon,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,4,Not Severe
2017-06-26,Mon,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,3,Not Severe
2017-06-09,Fri,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,2,Not Severe
2017-07-26,Wed,evening (19-23),Summer,Fine no high winds,Darkness - lights lit,Dry,Dual carriageway,30,2,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,5,Not Severe
2017-06-07,Wed,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,1,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,3,Not Severe
2017-05-26,Fri,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,Dual carriageway,30,2,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,3,Not Severe
2017-05-09,Tue,office hours (10-16),Spring,Fine no high winds,Daylight,Dry,One way street,30,2,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,3,Not Severe
2017-03-14,Tue,morning rush (7-10),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,3,0.155,0.083,0.496,11.653,0.027,91.602,4,Not Severe
2017-09-28,Thu,afternoon rush (16-19),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.146,0.079,-0.058,7.547,1.235,39.938,5,Not Severe
2017-08-10,Thu,afternoon rush (16-19),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,1,Urban,4,0.146,0.079,-0.058,7.547,1.235,39.938,4,Not Severe
2017-07-21,Fri,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,1,Urban,4,0.146,0.079,-0.058,7.547,1.235,39.938,5,Not Severe
2017-07-17,Mon,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,20,2,Urban,4,0.146,0.079,-0.058,7.547,1.235,39.938,4,Not Severe
2017-06-14,Wed,morning rush (7-10),Summer,Fine no high winds,Daylight,Dry,Single carriageway,30,1,Urban,4,0.146,0.079,-0.058,7.547,1.235,39.938,5,Not Severe
2017-04-11,Tue,afternoon rush (16-19),Spring,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,4,0.146,0.079,-0.058,7.547,1.235,39.938,3,Not Severe
2017-10-10,Tue,office hours (10-16),Autumn,Fine no high winds,Daylight,Dry,Single carriageway,30,2,Urban,5,0.102,0.082,-0.556,6.317,0.501,27.141,4,Not Severe
